100,0.000524,6.6e-05,4.8e-05,4e-06
200,0.00093,0.000153,6.9e-05,9e-06
300,0.001309,0.000296,8.9e-05,5.3e-05
400,0.001915,0.000547,0.000165,2.5e-05
500,0.001809,0.000772,0.000212,1.2e-05
600,0.002287,0.001086,0.000253,4.4e-05
700,0.002651,0.001216,0.00025,6e-06
800,0.002427,0.001539,0.000284,1.1e-05
900,0.002656,0.001939,0.000325,5.3e-05
1000,0.002644,0.002046,0.000314,1.6e-05
1100,0.002953,0.002445,0.000307,3.4e-05
1200,0.002854,0.002511,0.000332,3.1e-05
1300,0.003096,0.002668,0.00032,2.7e-05
1400,0.002949,0.00303,0.000348,2.3e-05
1500,0.002869,0.00311,0.000351,4.7e-05
1600,0.002862,0.003251,0.000335,3.5e-05
1700,0.00281,0.003379,0.000328,1.1e-05
1800,0.002713,0.003635,0.000331,2.5e-05
1900,0.002665,0.003924,0.000347,4.3e-05
2000,0.002618,0.004044,0.000349,2.2e-05
2100,0.002838,0.004343,0.000347,4.7e-05
2200,0.002951,0.004658,0.000364,5.2e-05
2300,0.003084,0.005059,0.000372,2.7e-05
2400,0.00318,0.005496,0.000391,1.2e-05
2500,0.003334,0.005947,0.00041,2.9e-05
2600,0.003452,0.006379,0.000428,2.4e-05
2700,0.003584,0.006846,0.000449,4.4e-05
2800,0.003698,0.007379,0.000465,1.8e-05
2900,0.003819,0.007982,0.000482,4.5e-05
3000,0.003923,0.008573,0.00051,2.1e-05
3100,0.004035,0.009085,0.000529,8.7e-05
3200,0.004135,0.00971,0.00054,5.5e-05
3300,0.004236,0.010296,0.00056,6.7e-05
3400,0.004333,0.010905,0.000574,1.3e-05
3500,0.004463,0.011559,0.000595,6.8e-05
3600,0.004546,0.012304,0.000635,7.4e-05
3700,0.00463,0.012981,0.00065,2.6e-05
3800,0.004827,0.014003,0.000666,5e-05
3900,0.004929,0.01431,0.000673,0.000124
4000,0.004977,0.015096,0.00069,2.9e-05
4100,0.005142,0.015846,0.000713,4.7e-05
4200,0.005499,0.016638,0.000741,3.3e-05
4300,0.005691,0.017509,0.000747,4.8e-05
4400,0.005873,0.018272,0.000766,6.9e-05
4500,0.006052,0.019079,0.000785,8.5e-05
4600,0.006217,0.01992,0.000803,0.000103
4700,0.006578,0.020765,0.000822,7.5e-05
4800,0.006519,0.021545,0.000844,5.9e-05
4900,0.006679,0.022495,0.000856,5.2e-05
5000,0.006833,0.023305,0.000889,4.6e-05
5100,0.006994,0.024343,0.0009,0.000144
5200,0.007103,0.025324,0.000918,2.7e-05
5300,0.007251,0.026312,0.000942,0.000115
5400,0.007358,0.027371,0.000959,0.00013
5500,0.00748,0.028665,0.000978,1.9e-05
5600,0.007609,0.029751,0.001052,5.9e-05
5700,0.00777,0.030766,0.001029,7.7e-05
5800,0.007879,0.032612,0.001121,4.8e-05
5900,0.008365,0.033435,0.001091,9.3e-05
6000,0.008049,0.034095,0.001093,9.9e-05
6100,0.008201,0.035092,0.001128,1.4e-05
6200,0.00827,0.036257,0.001129,0.000122
6300,0.008371,0.037356,0.00115,0.00013
6400,0.008514,0.038431,0.00117,0.000145
6500,0.008598,0.039699,0.001186,5.4e-05
6600,0.008758,0.041136,0.001256,0.000135
6700,0.009091,0.043804,0.00132,7.7e-05
6800,0.009573,0.046512,0.001342,0.000107
6900,0.009544,0.04737,0.001353,0.000144
7000,0.009663,0.048932,0.001369,2.6e-05
7100,0.009662,0.050059,0.001368,0.000109
7200,0.009656,0.050822,0.001382,9e-05
7300,0.009792,0.052321,0.001403,0.000109
7400,0.009891,0.054103,0.001461,6.9e-05
7500,0.010088,0.054223,0.001394,0.000125
7600,0.009814,0.05466,0.001409,0.000118
7700,0.009869,0.055808,0.001435,7.8e-05
7800,0.009987,0.057375,0.001439,2.5e-05
7900,0.010124,0.060396,0.001522,9.9e-05
8000,0.010562,0.061927,0.00151,0.000102
8100,0.010547,0.06199,0.00152,4.9e-05
8200,0.010616,0.063337,0.001567,0.000103
8300,0.010973,0.064855,0.001567,0.000261
8400,0.011256,0.066338,0.001568,0.000139
8500,0.011493,0.067962,0.001606,6.2e-05
8600,0.011664,0.069687,0.001619,0.000149
8700,0.01192,0.071192,0.001642,0.000151
8800,0.012076,0.073085,0.001665,5.4e-05
8900,0.012288,0.074569,0.001683,0.000164
9000,0.01244,0.076282,0.001708,0.000251
9100,0.012624,0.078602,0.001811,0.000134
9200,0.013426,0.081182,0.001761,0.000129
9300,0.012977,0.082045,0.001771,0.000216
9400,0.013132,0.083374,0.001873,0.00023
9500,0.013338,0.085186,0.001805,0.000236
9600,0.013402,0.087255,0.001893,0.000135
9700,0.013996,0.089066,0.001846,0.000267
9800,0.013767,0.090842,0.00188,0.000179
9900,0.01383,0.093145,0.001891,6.8e-05
